Home ID,Appliance Type,Energy Consumption (kWh),Outdoor Temperature (°C),Season,Household Size
223,Air Conditioning,2.62,17.4,Fall,5
438,TV,1.82,26.4,Winter,4
444,Oven,1.65,33.3,Fall,5
50,Washing Machine,1.47,-2.4,Winter,1
62,Lights,1.07,0.9,Spring,3
140,Fridge,0.45,5.4,Fall,1
162,Microwave,1.81,34.8,Fall,4
297,Oven,0.32,-7.9,Spring,3
15,Oven,0.9,13.4,Fall,4
390,Oven,1.08,8.8,Fall,4
80,Fridge,0.22,18.6,Fall,4
172,Fridge,0.38,21.0,Summer,5
106,Dishwasher,0.81,-1.0,Winter,3
210,Computer,1.8,1.7,Fall,1
372,Fridge,0.47,37.1,Fall,5
207,Computer,1.86,37.2,Winter,1
147,TV,1.09,11.0,Summer,5
430,Microwave,1.19,36.7,Fall,5
16,Microwave,1.75,24.8,Fall,1
99,Oven,1.11,38.4,Winter,2
24,Heater,3.83,0.6,Fall,4
474,Lights,1.94,9.7,Winter,1
190,Lights,0.96,35.1,Fall,4
282,Computer,1.05,1.1,Summer,2
472,Microwave,1.02,1.7,Winter,5
336,TV,1.79,23.3,Winter,5
413,Air Conditioning,4.95,37.1,Fall,5
423,Dishwasher,0.46,14.1,Winter,5
491,Computer,0.52,28.7,Fall,4
351,Washing Machine,1.53,34.8,Winter,1
274,TV,0.76,16.2,Winter,1
286,Lights,0.84,26.7,Fall,2
256,Heater,2.5,16.5,Summer,5
485,Oven,0.5,29.3,Summer,1
195,Washing Machine,1.15,25.0,Fall,4
425,Dishwasher,0.55,18.1,Fall,5
18,Oven,0.52,-8.6,Summer,2
337,Microwave,1.72,22.5,Summer,5
92,Washing Machine,0.94,39.9,Fall,4
499,Computer,0.65,-8.9,Spring,1
487,Microwave,1.36,-7.5,Spring,2
324,Heater,2.01,33.6,Summer,2
208,Washing Machine,0.63,34.2,Fall,4
262,Heater,2.07,-4.5,Winter,3
134,Oven,1.75,11.8,Winter,2
121,Heater,2.85,18.2,Winter,1
415,Heater,3.99,24.5,Summer,4
251,Dishwasher,0.33,18.6,Fall,4
143,Air Conditioning,3.14,11.2,Fall,3
85,Microwave,1.03,37.1,Spring,2
388,Microwave,0.5,15.9,Winter,4
240,Computer,0.21,39.5,Fall,5
223,Fridge,0.48,24.5,Winter,5
348,Oven,0.67,-7.2,Spring,5
33,Microwave,1.51,0.6,Spring,1
271,Oven,1.12,3.0,Winter,5
370,Oven,0.83,-9.1,Spring,3
385,Computer,0.98,-4.7,Summer,1
479,Microwave,1.85,17.1,Summer,1
292,Computer,0.21,10.6,Winter,1
190,Microwave,0.85,18.5,Spring,4
313,Heater,2.55,14.4,Fall,3
310,Heater,4.97,4.3,Spring,5
225,Computer,0.29,-4.1,Spring,2
17,Lights,0.6,14.1,Summer,5
74,Lights,0.32,24.9,Fall,1
290,Washing Machine,0.53,39.6,Spring,4
377,Microwave,0.92,7.3,Winter,4
284,Washing Machine,1.87,27.6,Spring,3
289,Heater,2.08,-7.1,Winter,1
78,TV,1.77,-2.3,Fall,1
54,Computer,1.09,37.2,Fall,1
444,Fridge,0.13,35.2,Fall,4
492,Oven,0.53,9.2,Spring,5
105,Lights,0.5,13.5,Winter,1
412,Oven,0.75,16.3,Spring,4
470,Heater,4.78,-4.1,Fall,1
471,Microwave,1.87,38.4,Summer,2
483,Dishwasher,0.63,37.6,Summer,4
329,Air Conditioning,4.18,-5.9,Fall,2
319,Oven,0.63,37.5,Spring,2
306,TV,1.79,16.6,Winter,5
81,Heater,4.83,11.8,Summer,2
333,Washing Machine,0.82,-7.4,Spring,3
62,Microwave,0.36,34.2,Summer,2
127,Microwave,0.74,20.2,Fall,1
259,Computer,1.26,31.2,Fall,5
257,TV,1.52,-6.4,Winter,1
185,Microwave,0.54,21.5,Winter,3
494,Microwave,1.35,27.7,Winter,2
117,Heater,4.6,36.9,Summer,5
88,Microwave,0.39,-5.5,Spring,5
401,Fridge,0.32,25.6,Spring,2
403,Heater,4.98,-4.9,Winter,2
12,Air Conditioning,3.17,22.3,Fall,4
94,Dishwasher,0.86,-8.1,Spring,4
179,Lights,0.98,9.1,Fall,4
359,Washing Machine,1.06,7.4,Winter,3
113,Washing Machine,0.28,23.4,Summer,1
5,Computer,1.87,2.3,Winter,3
278,Lights,1.3,5.6,Summer,3
17,Fridge,0.21,12.4,Winter,3
72,Lights,1.31,-3.2,Summer,3
331,Lights,0.99,7.8,Winter,5
420,Oven,1.51,4.3,Summer,5
407,Heater,3.93,18.1,Spring,1
61,Computer,0.85,21.2,Winter,5
496,Computer,0.24,18.5,Summer,5
271,Dishwasher,1.29,14.9,Winter,1
60,Dishwasher,0.53,25.5,Fall,1
179,TV,1.89,3.1,Summer,4
24,Dishwasher,0.8,20.4,Summer,1
87,TV,1.7,13.8,Winter,2
98,TV,0.81,5.9,Summer,4
22,TV,1.5,20.5,Winter,5
274,Computer,1.83,22.7,Spring,5
241,Heater,2.59,22.5,Fall,3
325,Oven,0.59,11.5,Winter,2
290,Heater,4.22,8.0,Spring,2
495,Fridge,0.21,0.6,Winter,5
175,Dishwasher,0.24,0.3,Spring,1
398,Fridge,0.49,30.1,Summer,3
496,Computer,1.19,4.1,Fall,4
396,Oven,0.25,30.2,Summer,2
471,Microwave,0.72,1.2,Fall,2
476,Fridge,0.39,-9.9,Winter,2
325,Oven,1.58,0.4,Spring,3
237,Oven,1.25,31.3,Winter,4
167,Heater,2.88,3.7,Fall,2
500,Heater,2.56,13.8,Winter,4
63,Microwave,0.23,-8.4,Fall,3
397,Lights,1.44,35.4,Fall,2
103,Fridge,0.31,26.6,Winter,1
421,Microwave,0.52,39.8,Spring,1
452,Microwave,1.0,-3.8,Summer,2
26,Lights,0.42,10.7,Fall,2
415,Computer,0.88,-4.5,Spring,2
58,Lights,0.8,5.5,Fall,3
65,Microwave,0.24,37.1,Summer,2
292,TV,0.85,14.5,Summer,4
57,TV,1.62,2.7,Spring,4
241,Microwave,0.55,1.1,Spring,2
319,Computer,0.38,9.1,Summer,5
96,Air Conditioning,2.05,0.2,Spring,1
430,Dishwasher,1.14,-3.9,Summer,3
365,Lights,0.54,28.2,Winter,3
433,Lights,1.56,26.0,Fall,1
476,Computer,0.44,6.1,Spring,1
118,Fridge,0.2,35.5,Summer,5
493,Washing Machine,1.49,36.5,Summer,3
342,Lights,0.89,23.1,Fall,1
141,Fridge,0.18,9.5,Spring,2
307,Air Conditioning,4.74,30.3,Fall,5
320,Microwave,1.07,22.9,Summer,1
229,Air Conditioning,4.02,39.3,Winter,2
222,TV,1.98,20.4,Spring,3
249,Dishwasher,0.69,28.4,Fall,2
164,Washing Machine,0.55,28.5,Spring,2
345,Microwave,0.53,25.5,Summer,1
237,Washing Machine,0.71,11.5,Spring,2
66,Fridge,0.23,29.8,Fall,4
179,Microwave,0.42,2.3,Fall,3
111,Heater,4.58,4.3,Spring,2
469,Lights,0.68,-1.9,Summer,3
133,Heater,3.38,37.1,Winter,4
346,Computer,0.86,-6.3,Fall,1
30,Air Conditioning,4.04,24.0,Summer,2
359,Washing Machine,1.33,38.5,Fall,1
257,Oven,0.27,28.3,Spring,5
34,Microwave,0.58,5.2,Fall,5
169,Lights,1.81,8.3,Summer,1
449,Washing Machine,0.5,1.9,Fall,1
78,Computer,0.26,30.0,Fall,5
380,Dishwasher,1.01,29.0,Winter,4
267,Dishwasher,0.71,4.0,Fall,3
314,Oven,1.22,6.8,Spring,2
79,Microwave,0.61,6.1,Spring,3
25,Microwave,1.96,22.1,Winter,2
143,Washing Machine,0.75,18.4,Fall,1
136,Oven,2.0,3.4,Summer,5
232,Washing Machine,1.51,14.3,Spring,2
493,Lights,1.16,-9.4,Fall,1
228,Washing Machine,1.11,24.9,Winter,3
143,Microwave,0.24,39.0,Winter,2
401,Washing Machine,1.45,-9.1,Summer,1
52,Washing Machine,1.92,-4.0,Spring,3
368,Dishwasher,1.73,-6.9,Summer,1
115,Lights,0.82,28.7,Spring,3
142,Fridge,0.35,8.0,Winter,2
84,Microwave,1.22,36.9,Summer,3
208,Air Conditioning,3.91,-1.7,Winter,1
285,Dishwasher,0.93,2.8,Winter,1
452,Air Conditioning,2.74,33.2,Spring,5
118,Fridge,0.45,29.0,Spring,3
426,Lights,1.03,32.6,Summer,5
269,Washing Machine,0.75,1.1,Summer,5
277,TV,0.27,32.9,Fall,5
238,Washing Machine,1.62,-9.2,Winter,1
448,Oven,1.31,7.8,Spring,1
130,Heater,2.35,1.0,Winter,5
131,Computer,1.53,3.5,Winter,2
344,Fridge,0.25,10.2,Fall,4
144,TV,0.43,30.2,Summer,1
298,Lights,1.16,30.5,Winter,3
22,Dishwasher,0.57,9.0,Spring,5
241,Air Conditioning,2.62,2.6,Summer,1
212,Air Conditioning,3.75,31.4,Summer,1
118,Lights,1.37,-4.5,Spring,4
123,Microwave,1.98,14.3,Winter,4
490,Oven,1.88,24.0,Summer,2
429,Air Conditioning,2.66,24.5,Fall,2
96,Dishwasher,0.3,16.6,Winter,3
224,Dishwasher,0.57,3.8,Spring,4
340,Microwave,1.2,20.7,Fall,1
161,Washing Machine,0.85,2.2,Winter,1
277,Air Conditioning,3.68,32.6,Winter,5
111,Dishwasher,1.17,30.0,Fall,2
256,Air Conditioning,3.48,-3.4,Spring,5
68,Washing Machine,1.06,16.7,Spring,1
377,Washing Machine,1.89,20.2,Summer,3
333,Computer,0.95,20.7,Fall,2
422,Washing Machine,1.92,38.2,Spring,1
381,TV,0.51,38.5,Spring,2
70,Oven,0.23,-0.5,Spring,3
302,Heater,3.05,30.5,Fall,4
485,Computer,1.69,-2.8,Summer,5
114,Heater,2.81,9.7,Fall,4
153,Lights,1.33,6.7,Summer,5
304,Washing Machine,0.35,7.6,Summer,1
136,Heater,3.73,5.4,Spring,5
367,TV,0.51,-8.1,Spring,4
26,Computer,0.88,2.0,Fall,2
26,Fridge,0.46,-1.4,Winter,3
81,TV,1.05,20.7,Spring,3
245,Lights,1.42,21.9,Spring,3
441,TV,0.99,5.7,Summer,5
318,Dishwasher,0.69,-7.4,Winter,3
49,Washing Machine,0.5,-5.6,Winter,1
72,Microwave,0.44,34.0,Summer,2
80,Oven,0.96,36.1,Summer,1
169,Fridge,0.17,-1.6,Summer,4
212,Oven,0.99,34.8,Spring,2
13,Microwave,1.22,30.4,Fall,5
100,Air Conditioning,3.58,18.8,Spring,3
418,Computer,0.3,25.6,Fall,5
64,Heater,4.08,17.5,Summer,5
423,Heater,2.98,4.0,Winter,1
489,Microwave,1.28,33.3,Summer,1
383,Washing Machine,1.33,5.1,Winter,5
99,Lights,1.59,39.9,Fall,1
417,Fridge,0.44,1.0,Spring,5
131,Lights,0.48,29.4,Fall,5
343,Dishwasher,1.73,-3.1,Summer,2
101,Lights,0.97,11.4,Fall,2
383,Dishwasher,1.55,30.0,Summer,3
253,Computer,0.41,-4.5,Summer,2
50,TV,1.89,-5.8,Winter,1
426,Lights,1.41,9.2,Winter,4
193,TV,1.34,26.2,Fall,3
282,Fridge,0.23,8.2,Winter,5
399,Oven,0.36,33.3,Summer,3
1,Oven,0.31,34.2,Fall,4
351,Washing Machine,0.55,35.1,Winter,1
244,Washing Machine,0.85,35.1,Summer,2
363,Washing Machine,1.11,-2.1,Winter,3
433,Air Conditioning,4.92,11.9,Summer,4
115,Fridge,0.47,34.1,Summer,1
329,Fridge,0.4,10.9,Winter,1
280,Washing Machine,0.36,34.0,Fall,5
59,Washing Machine,0.7,8.7,Fall,1
105,Washing Machine,0.54,12.2,Fall,2
225,Oven,1.47,12.7,Spring,4
316,Fridge,0.15,30.7,Winter,3
236,Heater,2.14,37.9,Summer,3
339,TV,0.63,-8.8,Fall,5
139,Computer,0.5,39.4,Fall,5
17,Lights,1.26,8.1,Summer,1
108,Heater,3.92,30.7,Summer,3
391,Microwave,1.16,7.5,Fall,3
211,Washing Machine,0.78,-5.9,Spring,3
418,Washing Machine,1.63,37.4,Fall,3
16,Dishwasher,0.47,5.4,Winter,2
184,Lights,0.85,-4.6,Fall,2
79,TV,1.91,30.3,Summer,1
169,Heater,4.57,32.3,Fall,3
251,Computer,1.75,-3.6,Fall,2
161,Fridge,0.39,0.6,Fall,1
484,Fridge,0.49,28.6,Summer,2
472,Heater,3.29,7.9,Spring,4
331,Microwave,1.91,8.1,Spring,2
432,TV,0.38,2.2,Fall,2
448,TV,1.19,28.2,Fall,5
378,Washing Machine,1.4,-7.0,Spring,1
294,Dishwasher,1.26,20.7,Spring,5
322,Fridge,0.27,32.6,Winter,3
427,Lights,1.8,26.4,Summer,3
178,Washing Machine,0.25,12.0,Fall,3
265,Computer,1.99,23.3,Summer,1
122,Air Conditioning,3.56,18.8,Spring,4
233,Washing Machine,1.64,16.3,Spring,4
444,TV,0.88,21.8,Summer,1
388,Dishwasher,1.24,11.7,Fall,4
158,Lights,1.03,28.7,Fall,1
139,Air Conditioning,2.56,38.6,Summer,5
89,Fridge,0.42,8.6,Summer,5
140,Air Conditioning,4.78,-7.4,Summer,5
444,Oven,0.38,-0.7,Winter,3
306,Computer,1.21,19.2,Summer,5
281,TV,0.33,-8.9,Spring,1
123,Air Conditioning,4.72,-7.6,Summer,5
135,Fridge,0.2,27.4,Summer,3
96,Lights,0.39,-5.6,Spring,2
436,Fridge,0.12,25.6,Summer,4
321,Lights,0.29,2.2,Summer,2
166,Oven,0.84,26.1,Fall,4
366,Fridge,0.21,31.1,Fall,4
380,Heater,4.26,30.5,Spring,3
327,Dishwasher,0.41,9.5,Winter,4
243,Air Conditioning,2.07,29.5,Fall,3
16,Heater,2.7,7.9,Winter,2
189,Oven,1.38,-0.1,Spring,4
371,Air Conditioning,4.74,-5.4,Spring,1
298,Microwave,1.04,34.8,Summer,2
104,Heater,2.77,24.0,Spring,4
422,Fridge,0.17,37.5,Winter,5
136,Air Conditioning,4.01,31.6,Spring,1
80,TV,1.05,-5.0,Fall,3
460,Dishwasher,1.29,21.3,Fall,5
483,Microwave,0.72,-0.6,Spring,1
258,Heater,4.96,36.2,Fall,3
466,Heater,3.39,39.9,Fall,4
115,Fridge,0.15,6.6,Winter,2
80,TV,0.47,3.2,Winter,5
444,Dishwasher,1.0,-1.7,Fall,4
203,Dishwasher,0.31,7.4,Spring,3
307,Lights,1.09,39.0,Summer,2
195,TV,1.02,-7.5,Summer,4
481,Oven,1.12,27.2,Fall,5
258,Dishwasher,0.31,-9.5,Winter,2
147,Dishwasher,0.53,0.8,Spring,1
383,Heater,2.11,19.2,Spring,5
192,Fridge,0.22,-5.3,Summer,4
328,Washing Machine,1.4,36.4,Fall,3
82,Heater,2.77,30.5,Summer,1
343,Heater,3.82,-0.9,Summer,2
150,Dishwasher,1.87,39.2,Winter,3
231,Lights,1.24,-8.1,Fall,4
288,Washing Machine,1.53,-4.3,Summer,2
373,Oven,0.61,37.5,Winter,5
227,Washing Machine,1.63,34.9,Fall,5
46,Lights,1.34,23.5,Fall,1
96,Washing Machine,0.32,33.3,Fall,2
334,Washing Machine,1.35,6.5,Winter,3
432,TV,0.8,1.6,Fall,4
56,Dishwasher,0.31,38.1,Spring,5
405,Fridge,0.22,34.6,Summer,4
210,Fridge,0.13,39.8,Spring,4
303,Heater,3.46,10.1,Winter,3
408,TV,0.45,9.4,Fall,5
278,Lights,1.93,23.7,Fall,4
372,TV,0.38,19.8,Summer,4
338,Air Conditioning,2.06,11.6,Fall,2
160,Washing Machine,1.94,10.2,Fall,1
235,Fridge,0.29,35.3,Summer,3
17,Dishwasher,0.41,0.5,Spring,2
440,Air Conditioning,2.48,14.5,Fall,1
238,Heater,3.83,-4.5,Winter,3
289,Heater,2.6,7.1,Summer,5
360,Air Conditioning,2.56,-0.5,Summer,3
497,Computer,0.55,18.5,Winter,5
311,Heater,3.03,34.3,Winter,5
142,Lights,1.02,27.4,Fall,4
271,Computer,1.34,17.5,Fall,4
90,Oven,1.39,11.2,Summer,4
279,Microwave,1.67,6.6,Fall,2
27,Oven,1.8,6.2,Fall,3
64,Oven,0.85,3.9,Spring,2
499,Fridge,0.15,1.3,Winter,1
358,Lights,1.03,-6.4,Winter,4
452,Microwave,1.12,25.2,Fall,4
297,Air Conditioning,3.65,35.8,Summer,2
118,Dishwasher,1.27,-3.5,Summer,4
431,Fridge,0.36,39.0,Summer,3
193,Oven,0.9,4.6,Spring,4
51,Heater,4.39,7.1,Spring,1
178,Microwave,1.0,-3.1,Fall,2
65,TV,0.58,-6.5,Spring,3
408,Heater,2.04,35.1,Winter,1
129,Heater,2.76,7.5,Spring,3
418,Washing Machine,1.55,34.5,Spring,3
392,Microwave,1.4,1.6,Spring,4
350,Dishwasher,0.56,11.8,Summer,1
197,Heater,4.93,4.8,Fall,4
159,Washing Machine,1.6,18.5,Winter,2
360,Microwave,1.35,-5.6,Fall,3
85,Heater,2.99,22.6,Spring,1
190,TV,1.16,-9.1,Spring,1
328,Computer,0.26,6.1,Spring,3
191,Washing Machine,1.34,36.7,Winter,5
155,Fridge,0.21,-7.8,Summer,1
312,Fridge,0.46,-7.6,Fall,5
212,Lights,0.32,-8.5,Winter,5
406,Microwave,0.8,19.5,Summer,3
389,Lights,1.62,2.6,Summer,2
263,Washing Machine,0.63,30.8,Winter,5
453,Microwave,0.73,7.8,Fall,1
264,Heater,3.86,32.0,Fall,1
490,Dishwasher,1.01,33.2,Summer,3
480,Lights,0.87,19.1,Spring,1
466,Computer,1.57,38.7,Spring,2
184,Fridge,0.22,23.1,Winter,3
305,TV,1.14,14.2,Summer,5
352,Washing Machine,0.94,14.5,Spring,3
353,Microwave,0.74,22.2,Winter,2
257,Heater,4.12,20.9,Summer,5
31,Microwave,1.99,9.6,Summer,1
268,Microwave,0.87,22.4,Winter,1
103,TV,0.83,30.0,Fall,2
23,Dishwasher,1.8,30.1,Fall,5
416,Washing Machine,1.98,11.8,Fall,3
465,Oven,1.03,31.3,Spring,3
64,Heater,2.45,-9.7,Winter,4
356,Heater,2.05,21.3,Fall,2
183,Microwave,1.39,19.8,Summer,4
413,Microwave,1.63,33.9,Fall,5
310,TV,0.59,-9.1,Winter,2
362,Washing Machine,0.79,8.2,Spring,3
195,Computer,0.91,14.9,Winter,2
23,Heater,4.42,10.9,Spring,1
400,Computer,0.27,-5.0,Winter,2
66,Air Conditioning,4.22,22.4,Winter,4
316,Microwave,0.37,19.5,Fall,2
359,Computer,0.81,33.8,Spring,2
310,Fridge,0.16,26.3,Spring,4
177,Air Conditioning,3.27,3.8,Summer,5
397,Heater,3.21,16.9,Spring,3
21,Oven,0.33,-1.1,Summer,2
332,Lights,1.36,10.0,Winter,2
314,Fridge,0.23,-0.8,Fall,4
67,Oven,0.46,35.6,Fall,5
300,Computer,0.37,1.5,Summer,1
265,Washing Machine,0.54,30.9,Fall,4
44,Fridge,0.42,39.8,Fall,1
159,Dishwasher,1.54,33.4,Winter,1
332,TV,0.83,11.9,Spring,4
343,Air Conditioning,2.46,-4.6,Fall,2
247,Dishwasher,1.95,1.9,Spring,2
266,Fridge,0.39,2.9,Winter,3
181,Air Conditioning,3.63,18.5,Winter,5
394,Oven,0.7,14.6,Fall,1
57,Washing Machine,0.87,15.0,Spring,3
43,Microwave,1.84,22.3,Winter,1
435,Dishwasher,1.82,39.0,Summer,5
353,Oven,0.21,-7.1,Spring,1
355,Computer,1.66,0.1,Winter,3
37,Heater,2.31,0.8,Fall,4
107,Dishwasher,1.26,23.4,Summer,5
373,Air Conditioning,2.32,-2.8,Spring,4
489,Lights,1.14,24.3,Fall,5
209,Heater,3.41,19.7,Spring,4
391,Fridge,0.14,21.3,Spring,2
19,Dishwasher,1.02,-2.9,Winter,1
269,Washing Machine,1.19,31.5,Fall,2
490,Air Conditioning,3.99,7.8,Summer,4
37,TV,1.05,-6.7,Winter,4
442,Oven,1.82,-0.2,Spring,5
355,Dishwasher,0.31,39.3,Spring,3
345,Dishwasher,1.19,-3.9,Summer,2
158,Oven,1.68,3.7,Summer,5
102,Dishwasher,1.23,-3.6,Winter,3
370,Computer,1.86,31.6,Spring,3
325,Air Conditioning,3.95,29.7,Winter,5
111,Computer,0.28,14.5,Spring,5
345,Computer,1.5,17.0,Summer,5
385,TV,2.0,-6.7,Fall,5
363,Lights,1.16,39.7,Fall,4
251,Computer,0.67,29.8,Spring,2
220,Washing Machine,1.06,-1.8,Winter,5
471,Washing Machine,0.93,15.3,Winter,3
115,Microwave,0.65,20.7,Summer,5
176,Heater,4.05,-8.7,Winter,2
457,Computer,1.0,4.8,Winter,5
144,Lights,0.68,14.3,Spring,5
16,Oven,0.68,16.1,Winter,1
472,Fridge,0.13,-3.2,Summer,5
210,Lights,1.63,-7.3,Fall,5
430,Fridge,0.32,39.3,Spring,5
461,Dishwasher,1.94,18.4,Summer,4
431,TV,0.7,12.8,Fall,5
382,Computer,1.0,21.3,Winter,5
432,Lights,1.45,-4.8,Spring,2
183,Dishwasher,1.19,21.8,Winter,1
66,Microwave,0.87,-9.6,Winter,3
407,Lights,0.37,25.4,Winter,2
94,Lights,0.47,34.8,Summer,1
425,Lights,1.03,17.7,Spring,1
21,Oven,1.92,39.6,Fall,5
161,Washing Machine,0.35,-4.1,Spring,3
45,Oven,0.54,5.7,Summer,5
223,Air Conditioning,2.36,25.7,Winter,4
486,Microwave,0.88,39.1,Fall,4
126,Air Conditioning,3.87,-1.5,Summer,2
57,Computer,1.91,6.2,Summer,2
230,Microwave,1.36,18.4,Spring,3
406,Lights,1.64,1.0,Summer,4
477,Oven,1.54,27.5,Summer,2
190,Dishwasher,1.21,23.7,Spring,4
374,Microwave,1.14,17.1,Fall,1
74,Washing Machine,1.34,0.8,Fall,3
202,Heater,4.93,3.8,Spring,5
30,Lights,1.79,1.6,Winter,4
244,Oven,0.34,9.9,Fall,5
325,Washing Machine,0.61,37.7,Spring,4
232,Dishwasher,0.92,-8.8,Winter,2
477,Heater,3.0,5.4,Spring,4
224,Air Conditioning,2.96,30.7,Fall,5
364,Oven,1.78,0.3,Summer,4
496,Lights,0.76,12.6,Spring,3
248,Air Conditioning,3.16,10.3,Summer,4
182,Computer,0.28,32.9,Fall,5
272,Washing Machine,1.69,32.1,Summer,2
167,Washing Machine,1.38,15.0,Winter,2
202,Lights,1.59,22.6,Summer,1
213,Washing Machine,2.0,9.0,Summer,1
173,TV,1.49,34.9,Fall,3
444,Lights,0.66,-3.7,Winter,1
278,Lights,1.11,3.8,Spring,4
333,Lights,1.33,7.5,Spring,4
178,Computer,0.41,37.7,Winter,3
69,TV,0.96,-5.8,Spring,1
279,Microwave,0.53,5.5,Winter,4
238,Oven,0.56,18.3,Summer,1
164,Oven,1.68,29.9,Summer,5
376,Air Conditioning,4.33,1.2,Fall,5
377,Lights,1.28,-4.3,Summer,5
471,TV,1.57,38.5,Spring,3
235,Washing Machine,1.97,0.1,Winter,2
239,Microwave,0.92,26.3,Fall,2
496,Fridge,0.11,34.0,Fall,3
146,Air Conditioning,2.9,15.5,Summer,4
176,Heater,3.66,32.7,Spring,2
110,TV,0.27,-7.9,Winter,4
359,Dishwasher,1.36,18.3,Winter,4
44,Lights,0.77,21.2,Winter,2
263,Computer,1.28,19.5,Spring,4
95,Oven,1.33,39.7,Winter,2
206,Heater,3.77,-7.6,Summer,4
416,Heater,2.51,7.1,Summer,2
394,Washing Machine,0.67,24.9,Spring,3
405,Washing Machine,0.67,36.2,Fall,4
335,Air Conditioning,4.42,-0.7,Winter,3
365,Microwave,1.64,23.9,Fall,4
132,Computer,0.55,5.1,Fall,1
74,Computer,0.49,11.4,Fall,3
328,Fridge,0.34,11.8,Summer,4
298,Computer,0.46,4.7,Winter,1
411,Fridge,0.38,9.6,Fall,5
77,Microwave,1.35,4.7,Fall,3
192,Lights,1.89,18.4,Fall,5
381,Computer,1.25,-3.7,Fall,1
442,Dishwasher,1.82,33.4,Spring,2
414,Washing Machine,1.8,26.9,Winter,5
158,Dishwasher,0.22,9.9,Summer,5
367,Dishwasher,0.33,35.0,Fall,2
225,Heater,3.71,10.9,Fall,2
162,Microwave,0.75,-8.4,Fall,5
202,Air Conditioning,3.19,10.3,Winter,5
379,Lights,0.9,28.3,Winter,2
49,Microwave,0.53,18.0,Winter,1
32,Dishwasher,0.45,30.3,Summer,3
118,Microwave,0.65,34.0,Fall,4
133,Computer,0.42,23.7,Summer,5
336,Washing Machine,0.26,7.3,Spring,5
337,Oven,0.22,21.0,Winter,1
76,Air Conditioning,3.14,23.0,Summer,5
237,Washing Machine,0.37,24.5,Fall,2
61,Dishwasher,1.02,9.3,Fall,5
155,Fridge,0.34,39.3,Summer,5
133,Air Conditioning,3.75,4.9,Winter,3
122,Oven,0.52,3.0,Summer,5
43,Oven,0.29,8.3,Winter,2
471,Heater,4.68,27.2,Spring,3
32,Heater,4.89,12.6,Fall,1
55,TV,0.51,7.0,Summer,2
161,Washing Machine,0.78,33.8,Fall,1
320,Heater,2.1,38.9,Fall,5
497,Lights,0.81,-2.5,Summer,4
287,Air Conditioning,3.54,22.2,Fall,3
357,Heater,2.95,2.3,Winter,5
253,Microwave,1.92,3.6,Spring,2
204,Fridge,0.25,35.0,Fall,1
413,Fridge,0.28,33.7,Summer,2
368,Lights,0.67,37.8,Summer,4
172,Oven,1.92,31.5,Fall,4
296,Oven,0.74,15.6,Fall,1
495,Fridge,0.2,32.7,Winter,4
41,Fridge,0.21,-3.5,Fall,1
163,Dishwasher,0.21,-5.0,Summer,2
331,Dishwasher,0.6,33.7,Winter,2
20,TV,1.15,16.4,Winter,1
74,Air Conditioning,5.0,0.9,Spring,4
279,Air Conditioning,4.43,8.8,Winter,2
482,TV,1.03,18.3,Fall,4
297,Computer,1.13,34.0,Fall,4
40,Heater,3.37,38.9,Winter,1
89,Fridge,0.2,10.3,Summer,5
43,TV,0.35,37.2,Summer,3
450,Oven,1.13,30.6,Fall,4
157,Air Conditioning,3.53,10.3,Spring,3
159,Dishwasher,1.64,6.9,Fall,3
440,Heater,4.94,34.6,Winter,4
159,Washing Machine,1.53,-3.7,Fall,1
252,TV,1.13,27.9,Winter,4
358,Dishwasher,1.36,34.9,Summer,2
27,TV,0.49,-1.3,Summer,1
389,Computer,1.67,16.2,Summer,3
122,TV,1.36,9.7,Fall,2
249,Air Conditioning,3.93,-8.2,Spring,3
405,Washing Machine,1.3,28.2,Summer,4
28,Microwave,0.28,-6.3,Winter,3
391,Heater,4.93,18.2,Summer,1
328,Computer,1.52,28.6,Winter,3
76,Dishwasher,1.8,3.5,Fall,3
315,Oven,0.98,16.6,Winter,1
272,Air Conditioning,4.56,38.0,Summer,1
402,Computer,0.31,-3.1,Winter,4
168,Air Conditioning,2.4,33.0,Fall,5
205,Washing Machine,1.01,34.1,Winter,1
369,Oven,0.47,38.2,Spring,3
67,Washing Machine,1.99,8.8,Summer,1
129,Oven,1.94,37.2,Spring,1
219,Lights,0.47,34.9,Fall,2
145,Oven,0.57,5.8,Fall,2
266,Fridge,0.2,26.9,Fall,1
489,TV,0.91,-3.4,Summer,5
284,Washing Machine,1.63,16.6,Winter,3
52,Microwave,0.41,37.9,Spring,5
347,TV,0.96,16.5,Summer,4
46,TV,0.56,24.9,Summer,5
363,Heater,2.41,-2.2,Winter,1
70,Oven,1.35,16.8,Summer,4
90,TV,0.68,36.2,Spring,5
125,Computer,0.47,37.7,Fall,2
111,Computer,0.55,31.5,Winter,5
122,Air Conditioning,3.34,32.6,Winter,3
86,TV,1.31,28.6,Summer,3
319,Fridge,0.32,18.4,Winter,5
480,Oven,0.39,22.0,Fall,2
5,Lights,1.8,33.4,Fall,4
119,Heater,3.87,35.0,Fall,2
159,Air Conditioning,3.81,29.5,Spring,2
150,Fridge,0.19,-2.3,Fall,1
437,Fridge,0.26,-3.4,Fall,1
37,Dishwasher,0.37,-2.6,Fall,4
15,Lights,0.53,12.0,Spring,5
